moves, guesses, result, moves, guesses, result, moves, guesses, result
141, 7, lost, 3, 2, lost, 26, 0, won, 
140, 8, lost, 88, 2, lost, 6, 5, lost, 
49, 3, lost, 126, 0, won, 27, 2, won, 
109, 3, lost, 119, 3, won, 30, 2, won, 
3, 2, lost, 10, 7, lost, 2, 1, lost, 
3, 2, lost, 116, 0, won, 23, 0, won, 
261, 3, lost, 89, 1, won, 39, 0, won, 
296, 2, won, 103, 1, won, 19, 1, won, 
247, 3, lost, 3, 2, lost, 17, 2, won, 
4, 1, lost, 32, 6, lost, 21, 0, won, 
34, 3, lost, 154, 2, won, 40, 3, won, 
22, 2, lost, 11, 3, lost, 27, 3, won, 
3, 2, lost, 5, 4, lost, 2, 1, lost, 
2, 1, lost, 2, 1, lost, 30, 0, won, 
245, 6, lost, 112, 3, won, 28, 2, lost, 
31, 13, lost, 2, 1, lost, 45, 3, won, 
8, 5, lost, 102, 2, won, 31, 6, won, 
122, 4, lost, 11, 8, lost, 36, 0, won, 
237, 4, lost, 115, 1, lost, 30, 0, won, 
23, 4, lost, 100, 2, won, 18, 1, lost, 
84, 14, lost, 3, 2, lost, 30, 1, won, 
3, 2, lost, 2, 1, lost, 25, 2, won, 
16, 6, lost, 126, 0, won, 3, 2, lost, 
5, 4, lost, 2, 1, lost, 36, 1, won, 
197, 7, lost, 6, 5, lost, 27, 1, won, 
187, 6, lost, 110, 1, lost, 20, 0, won, 
78, 4, lost, 142, 0, won, 23, 1, won, 
34, 2, lost, 5, 4, lost, 4, 3, lost, 
25, 5, lost, 2, 1, lost, 26, 1, won, 
3, 2, lost, 144, 4, won, 19, 1, won, 
86, 4, lost, 107, 5, lost, 28, 1, won, 
2, 1, lost, 118, 4, won, 2, 1, lost, 
2, 1, lost, 125, 2, won, 23, 2, won, 
134, 7, lost, 81, 2, lost, 24, 1, won, 
9, 3, lost, 28, 5, lost, 24, 2, won, 
2, 1, lost, 19, 5, lost, 2, 1, lost, 
171, 5, lost, 136, 2, won, 2, 1, lost, 
32, 4, lost, 128, 3, won, 28, 0, won, 
5, 4, lost, 66, 4, lost, 26, 0, won, 
9, 5, lost, 130, 4, won, 33, 0, won, 
2, 1, lost, 132, 3, won, 36, 1, won, 
110, 7, lost, 115, 1, lost, 11, 4, lost, 
10, 6, lost, 133, 3, lost, 31, 2, lost, 
2, 1, lost, 116, 0, won, 24, 0, won, 
12, 4, lost, 134, 4, won, 24, 1, won, 
7, 1, lost, 116, 1, lost, 24, 0, won, 
2, 1, lost, 87, 3, lost, 27, 1, won, 
2, 1, lost, 117, 0, won, 25, 3, won, 
13, 4, lost, 116, 3, won, 31, 0, won, 
4, 3, lost, 107, 3, lost, 37, 3, won, 
2, 1, lost, 114, 6, won, 2, 1, lost, 
17, 1, lost, 103, 2, won, 29, 1, won, 
11, 2, lost, 132, 1, won, 27, 0, won, 
79, 3, lost, 64, 1, lost, 35, 0, won, 
8, 4, lost, 127, 0, won, 22, 0, won, 
31, 3, lost, 2, 1, lost, 32, 2, won, 
204, 4, lost, 6, 5, lost, 29, 3, won, 
17, 2, lost, 19, 1, lost, 26, 2, won, 
90, 1, lost, 140, 8, won, 37, 1, won, 
260, 3, lost, 61, 4, lost, 30, 0, won, 
22, 4, lost, 99, 2, won, 26, 2, won, 
2, 1, lost, 19, 6, lost, 31, 0, won, 
2, 1, lost, 89, 6, lost, 32, 3, won, 
5, 2, lost, 119, 4, lost, 36, 1, won, 
8, 4, lost, 112, 1, won, 8, 4, lost, 
2, 1, lost, 11, 1, lost, 35, 2, won, 
44, 1, lost, 134, 2, lost, 27, 1, won, 
227, 4, lost, 37, 2, lost, 8, 4, lost, 
2, 1, lost, 2, 1, lost, 24, 1, won, 
257, 6, lost, 89, 2, lost, 27, 4, won, 
106, 8, lost, 2, 1, lost, 21, 0, won, 
266, 4, lost, 10, 8, lost, 34, 2, won, 
96, 4, lost, 9, 6, lost, 22, 0, won, 
3, 2, lost, 2, 1, lost, 32, 0, won, 
12, 4, lost, 95, 3, lost, 32, 0, won, 
5, 4, lost, 99, 3, lost, 24, 0, won, 
2, 1, lost, 103, 0, won, 3, 2, lost, 
2, 1, lost, 111, 5, won, 32, 0, won, 
6, 5, lost, 119, 6, won, 30, 0, won, 
3, 2, lost, 91, 3, lost, 38, 0, won, 
278, 6, lost, 106, 5, won, 24, 0, won, 
2, 1, lost, 38, 3, lost, 17, 1, lost, 
3, 2, lost, 4, 3, lost, 21, 2, lost, 
10, 4, lost, 3, 2, lost, 20, 0, won, 
86, 7, lost, 117, 3, won, 23, 2, won, 
17, 8, lost, 117, 1, won, 29, 3, won, 
2, 1, lost, 23, 2, lost, 22, 0, won, 
7, 6, lost, 83, 2, lost, 30, 1, won, 
2, 1, lost, 4, 3, lost, 23, 0, won, 
10, 7, lost, 3, 2, lost, 35, 0, won, 
25, 5, lost, 14, 6, lost, 2, 1, lost, 
47, 1, lost, 49, 8, lost, 25, 6, lost, 
2, 1, lost, 125, 4, won, 29, 0, won, 
15, 2, lost, 101, 5, lost, 36, 3, won, 
4, 3, lost, 102, 1, won, 27, 0, won, 
110, 3, lost, 97, 2, won, 6, 5, lost, 
24, 7, lost, 95, 6, lost, 29, 1, won, 
251, 12, lost, 2, 1, lost, 33, 0, won, 
36, 6, lost, 17, 4, lost, 25, 0, won, 
5, 4, lost, 121, 3, won, 25, 1, won, 
84, 2, lost, 134, 3, won, 33, 1, won, 
110, 5, lost, 87, 1, lost, 28, 0, won, 
5, 4, lost, 118, 1, won, 35, 1, won, 
16, 4, lost, 103, 0, won, 29, 3, won, 
3, 2, lost, 2, 1, lost, 31, 0, won, 
6, 2, lost, 3, 2, lost, 28, 2, won, 
42, 7, lost, 127, 7, lost, 5, 4, lost, 
83, 14, lost, 107, 4, won, 26, 1, won, 
7, 4, lost, 47, 5, lost, 25, 2, won, 
3, 2, lost, 69, 4, lost, 35, 2, won, 
127, 1, lost, 6, 5, lost, 28, 0, won, 
39, 3, lost, 2, 1, lost, 35, 5, won, 
2, 1, lost, 11, 1, lost, 13, 3, lost, 
11, 2, lost, 2, 1, lost, 18, 0, won, 
10, 2, lost, 121, 3, won, 12, 1, lost, 
2, 1, lost, 2, 1, lost, 20, 2, lost, 
3, 2, lost, 110, 1, lost, 22, 2, won, 
123, 3, lost, 5, 4, lost, 33, 5, won, 
141, 9, lost, 8, 6, lost, 6, 5, lost, 
6, 2, lost, 110, 2, won, 32, 1, won, 
6, 5, lost, 125, 2, won, 25, 0, won, 
302, 3, lost, 106, 2, lost, 30, 4, won, 
3, 2, lost, 137, 4, won, 25, 1, won, 
5, 4, lost, 130, 0, won, 26, 2, won, 
5, 4, lost, 118, 3, lost, 29, 2, won, 
5, 4, lost, 5, 4, lost, 32, 0, won, 
68, 16, lost, 99, 5, lost, 14, 2, lost, 
18, 1, lost, 4, 3, lost, 23, 0, won, 
87, 8, lost, 125, 4, won, 13, 2, lost, 
146, 5, lost, 2, 1, lost, 34, 4, won, 
15, 5, lost, 2, 1, lost, 27, 1, won, 
7, 5, lost, 7, 6, lost, 4, 3, lost, 
3, 2, lost, 114, 4, lost, 6, 2, lost, 
10, 7, lost, 5, 4, lost, 30, 4, won, 
6, 5, lost, 112, 2, lost, 28, 1, won, 
17, 4, lost, 110, 1, won, 14, 3, lost, 
3, 2, lost, 132, 3, won, 3, 2, lost, 
12, 5, lost, 101, 2, lost, 40, 0, won, 
5, 2, lost, 3, 2, lost, 3, 2, lost, 
4, 3, lost, 85, 3, lost, 21, 1, won, 
13, 6, lost, 6, 5, lost, 24, 2, won, 
14, 4, lost, 5, 4, lost, 29, 0, won, 
94, 3, lost, 112, 2, won, 22, 1, won, 
5, 1, lost, 122, 3, won, 18, 3, lost, 
79, 8, lost, 113, 0, won, 33, 0, won, 
96, 3, lost, 104, 1, lost, 25, 3, won, 
3, 2, lost, 4, 3, lost, 24, 0, won, 
38, 4, lost, 142, 2, won, 25, 3, won, 
277, 6, lost, 136, 3, won, 29, 2, won, 
2, 1, lost, 109, 0, won, 11, 10, lost, 
2, 1, lost, 111, 2, won, 36, 0, won, 
92, 5, lost, 107, 2, won, 20, 1, won, 
21, 4, lost, 110, 2, won, 27, 6, won, 
2, 1, lost, 10, 6, lost, 37, 3, won, 
8, 5, lost, 79, 4, lost, 30, 0, won, 
6, 5, lost, 2, 1, lost, 20, 1, won, 
178, 10, lost, 124, 3, won, 26, 2, won, 
2, 1, lost, 113, 1, won, 26, 1, won, 
117, 10, lost, 8, 4, lost, 36, 2, won, 
2, 1, lost, 106, 3, lost, 29, 1, won, 
94, 9, lost, 118, 3, won, 28, 0, won, 
19, 1, lost, 2, 1, lost, 2, 1, lost, 
163, 4, lost, 119, 6, lost, 25, 4, won, 
311, 12, won, 29, 2, lost, 26, 0, won, 
3, 2, lost, 2, 1, lost, 27, 2, won, 
5, 3, lost, 114, 2, won, 27, 2, won, 
27, 3, lost, 134, 4, lost, 23, 1, won, 
158, 3, lost, 133, 5, won, 23, 3, lost, 
92, 3, lost, 2, 1, lost, 18, 0, won, 
15, 1, lost, 7, 4, lost, 30, 2, won, 
62, 5, lost, 55, 4, lost, 26, 0, won, 
9, 5, lost, 116, 2, won, 32, 1, won, 
240, 4, lost, 121, 2, won, 28, 1, won, 
121, 5, lost, 114, 2, won, 32, 3, lost, 
204, 2, lost, 3, 2, lost, 31, 1, won, 
4, 3, lost, 3, 2, lost, 3, 2, lost, 
2, 1, lost, 96, 2, lost, 28, 4, lost, 
161, 3, lost, 50, 4, lost, 23, 1, won, 
3, 2, lost, 51, 4, lost, 27, 0, won, 
40, 5, lost, 36, 5, lost, 19, 0, won, 
10, 3, lost, 123, 3, won, 27, 2, won, 
101, 8, lost, 8, 3, lost, 26, 0, won, 
75, 6, lost, 135, 4, lost, 31, 0, won, 
2, 1, lost, 137, 8, won, 19, 1, won, 
3, 2, lost, 122, 2, won, 36, 0, won, 
8, 3, lost, 117, 3, won, 29, 3, won, 
2, 1, lost, 109, 0, won, 22, 1, lost, 
3, 2, lost, 94, 4, won, 33, 3, won, 
2, 1, lost, 3, 2, lost, 39, 3, won, 
4, 3, lost, 14, 6, lost, 11, 2, lost, 
5, 4, lost, 37, 3, lost, 4, 2, lost, 
44, 3, lost, 127, 1, won, 28, 0, won, 
2, 1, lost, 2, 1, lost, 19, 3, lost, 
9, 4, lost, 111, 3, lost, 21, 1, lost, 
5, 4, lost, 116, 4, won, 25, 4, won, 
2, 1, lost, 8, 6, lost, 28, 0, won, 
4, 3, lost, 129, 0, won, 29, 2, won, 
16, 5, lost, 2, 1, lost, 38, 0, won, 
3, 2, lost, 2, 1, lost, 31, 0, won, 
5, 4, lost, 124, 2, lost, 22, 2, won, 
2, 1, lost, 97, 1, lost, 6, 3, lost, 
5, 4, lost, 127, 1, won, 19, 2, won, 
50, 2, lost, 2, 1, lost, 23, 0, won, 
291, 1, lost, 2, 1, lost, 22, 1, won, 
282, 10, lost, 133, 2, won, 29, 2, won, 
75, 9, lost, 2, 1, lost, 27, 0, won, 
3, 2, lost, 131, 1, won, 34, 0, won, 
2, 1, lost, 3, 2, lost, 25, 1, won, 
2, 1, lost, 6, 5, lost, 5, 4, lost, 
188, 4, lost, 26, 2, lost, 22, 2, won, 
7, 3, lost, 116, 4, lost, 33, 2, won, 
4, 1, lost, 5, 4, lost, 41, 0, won, 
6, 3, lost, 106, 7, lost, 21, 0, won, 
19, 3, lost, 121, 0, won, 24, 1, won, 
98, 10, lost, 104, 2, won, 24, 1, won, 
3, 2, lost, 2, 1, lost, 33, 2, won, 
85, 4, lost, 8, 5, lost, 28, 4, won, 
4, 1, lost, 59, 3, lost, 24, 1, won, 
21, 11, lost, 6, 5, lost, 33, 0, won, 
24, 4, lost, 8, 7, lost, 29, 0, won, 
6, 5, lost, 123, 0, won, 31, 0, won, 
50, 1, lost, 112, 5, won, 3, 2, lost, 
11, 2, lost, 9, 2, lost, 29, 2, won, 
3, 2, lost, 25, 4, lost, 22, 3, won, 
253, 5, lost, 118, 3, won, 30, 1, won, 
102, 7, lost, 3, 2, lost, 22, 0, won, 
9, 7, lost, 130, 1, won, 6, 5, lost, 
6, 5, lost, 141, 6, won, 36, 0, won, 
5, 1, lost, 84, 5, lost, 22, 3, won, 
4, 3, lost, 8, 5, lost, 26, 2, won, 
87, 3, lost, 105, 3, lost, 34, 5, won, 
43, 6, lost, 94, 4, lost, 29, 1, won, 
8, 1, lost, 102, 2, lost, 37, 3, won, 
60, 5, lost, 130, 4, won, 22, 0, won, 
3, 2, lost, 2, 1, lost, 21, 2, won, 
2, 1, lost, 22, 2, lost, 29, 1, won, 
9, 4, lost, 108, 3, won, 3, 2, lost, 
240, 3, lost, 112, 0, won, 29, 0, won, 
3, 2, lost, 96, 2, lost, 46, 6, won, 
5, 4, lost, 121, 1, won, 27, 0, won, 
2, 1, lost, 106, 3, lost, 34, 5, won, 
6, 3, lost, 105, 0, won, 31, 1, won, 
2, 1, lost, 5, 4, lost, 32, 2, won, 
2, 1, lost, 115, 0, won, 25, 0, won, 
2, 1, lost, 123, 7, won, 24, 1, won, 
9, 3, lost, 2, 1, lost, 21, 2, lost, 
2, 1, lost, 5, 1, lost, 31, 1, won, 
10, 9, lost, 121, 4, lost, 25, 1, won, 
53, 2, lost, 4, 3, lost, 34, 1, won, 
7, 4, lost, 115, 2, lost, 26, 0, won, 
3, 2, lost, 3, 2, lost, 34, 3, won, 
4, 3, lost, 5, 2, lost, 32, 0, won, 
236, 6, lost, 140, 3, won, 16, 2, lost, 
25, 4, lost, 121, 0, won, 16, 0, won, 
10, 5, lost, 45, 2, lost, 32, 0, won, 
10, 8, lost, 46, 5, lost, 37, 4, won, 
207, 6, lost, 113, 4, won, 25, 1, won, 
283, 5, lost, 138, 4, won, 22, 0, won, 
33, 5, lost, 124, 0, won, 3, 2, lost, 
2, 1, lost, 136, 3, lost, 33, 3, won, 
3, 2, lost, 26, 3, lost, 26, 1, won, 
3, 2, lost, 104, 4, won, 28, 1, won, 
120, 2, lost, 95, 2, lost, 25, 1, won, 
69, 3, lost, 93, 5, lost, 2, 1, lost, 
10, 6, lost, 2, 1, lost, 28, 0, won, 
19, 4, lost, 2, 1, lost, 21, 1, won, 
95, 6, lost, 145, 1, won, 26, 0, won, 
48, 1, lost, 93, 1, lost, 21, 0, won, 
100, 7, lost, 101, 5, lost, 20, 0, won, 
90, 4, lost, 17, 5, lost, 29, 1, won, 
36, 2, lost, 139, 1, won, 21, 0, won, 
11, 4, lost, 113, 2, won, 36, 0, won, 
2, 1, lost, 127, 4, lost, 14, 3, lost, 
135, 13, lost, 117, 3, lost, 3, 2, lost, 
2, 1, lost, 2, 1, lost, 24, 1, won, 
276, 7, lost, 119, 2, lost, 17, 0, won, 
19, 5, lost, 113, 2, won, 31, 2, won, 
7, 4, lost, 6, 2, lost, 22, 0, won, 
195, 3, lost, 116, 3, won, 34, 1, won, 
85, 5, lost, 9, 1, lost, 21, 2, won, 
3, 2, lost, 7, 3, lost, 8, 3, lost, 
33, 2, lost, 109, 2, won, 30, 0, won, 
2, 1, lost, 103, 2, won, 23, 0, won, 
2, 1, lost, 139, 0, won, 30, 0, won, 
150, 5, lost, 79, 5, lost, 2, 1, lost, 
4, 3, lost, 100, 1, won, 28, 2, lost, 
87, 7, lost, 108, 2, won, 37, 2, won, 
43, 4, lost, 2, 1, lost, 18, 0, won, 
2, 1, lost, 2, 1, lost, 31, 2, won, 
11, 6, lost, 130, 0, won, 31, 2, won, 
2, 1, lost, 3, 2, lost, 38, 0, won, 
6, 4, lost, 103, 2, won, 36, 0, won, 
4, 1, lost, 118, 3, lost, 28, 2, won, 
148, 13, lost, 77, 4, lost, 25, 3, lost, 
7, 4, lost, 92, 2, lost, 15, 2, won, 
58, 2, lost, 2, 1, lost, 26, 0, won, 
6, 5, lost, 134, 4, won, 3, 2, lost, 
5, 4, lost, 2, 1, lost, 31, 1, won, 
8, 7, lost, 2, 1, lost, 24, 0, won, 
256, 10, lost, 89, 2, lost, 31, 0, won, 
10, 1, lost, 120, 0, won, 33, 4, won, 
23, 3, lost, 106, 0, won, 26, 6, lost, 
3, 2, lost, 114, 1, won, 29, 2, won, 
29, 12, lost, 122, 5, lost, 32, 3, lost, 
2, 1, lost, 138, 4, won, 25, 0, won, 
2, 1, lost, 16, 3, lost, 31, 4, lost, 
139, 8, lost, 86, 2, lost, 25, 0, won, 
39, 1, lost, 125, 3, lost, 24, 2, won, 
3, 2, lost, 119, 3, won, 24, 1, won, 
225, 12, lost, 44, 2, lost, 23, 0, won, 
3, 2, lost, 23, 5, lost, 26, 1, won, 
56, 10, lost, 3, 1, lost, 25, 0, won, 
6, 1, lost, 123, 0, won, 29, 1, won, 
2, 1, lost, 107, 3, won, 2, 1, lost, 
131, 6, lost, 111, 2, won, 36, 0, won, 
4, 3, lost, 65, 1, lost, 26, 0, won, 
163, 3, lost, 114, 2, lost, 26, 0, won, 
3, 2, lost, 111, 2, won, 15, 1, lost, 
55, 3, lost, 113, 2, won, 50, 0, won, 
2, 1, lost, 3, 2, lost, 19, 2, won, 
23, 4, lost, 105, 1, won, 6, 5, lost, 
159, 11, lost, 93, 2, lost, 27, 0, won, 
141, 3, lost, 110, 3, lost, 23, 0, won, 
14, 3, lost, 117, 4, lost, 29, 1, won, 
11, 1, lost, 16, 7, lost, 2, 1, lost, 
97, 5, lost, 108, 1, lost, 22, 2, won, 
16, 5, lost, 5, 4, lost, 42, 0, won, 
4, 3, lost, 122, 3, won, 28, 8, won, 
249, 5, lost, 2, 1, lost, 22, 1, lost, 
65, 6, lost, 18, 6, lost, 26, 1, won, 
163, 2, lost, 118, 0, won, 33, 2, won, 
144, 7, lost, 136, 2, lost, 25, 0, won, 
15, 1, lost, 27, 3, lost, 29, 0, won, 
189, 6, lost, 2, 1, lost, 35, 1, won, 
5, 4, lost, 125, 2, won, 22, 3, lost, 
218, 6, lost, 129, 1, won, 24, 2, won, 
58, 7, lost, 116, 1, won, 19, 4, won, 
40, 7, lost, 6, 5, lost, 39, 1, won, 
286, 4, lost, 116, 4, lost, 29, 0, won, 
73, 1, lost, 123, 6, won, 31, 0, won, 
3, 2, lost, 7, 5, lost, 31, 2, lost, 
8, 4, lost, 2, 1, lost, 30, 0, won, 
150, 8, lost, 121, 3, won, 30, 3, won, 
339, 2, lost, 101, 0, won, 2, 1, lost, 
6, 5, lost, 99, 5, lost, 22, 0, won, 
82, 4, lost, 2, 1, lost, 21, 0, won, 
6, 5, lost, 134, 2, won, 24, 0, won, 
15, 4, lost, 107, 1, won, 19, 0, won, 
2, 1, lost, 119, 2, won, 3, 2, lost, 
52, 10, lost, 3, 2, lost, 18, 1, won, 
5, 4, lost, 72, 6, lost, 2, 1, lost, 
2, 1, lost, 97, 3, won, 32, 0, won, 
14, 3, lost, 117, 3, lost, 17, 1, lost, 
145, 1, lost, 128, 0, won, 21, 2, won, 
6, 3, lost, 118, 2, lost, 26, 2, won, 
31, 8, lost, 126, 2, won, 22, 1, lost, 
9, 4, lost, 80, 8, lost, 34, 0, won, 
2, 1, lost, 105, 3, won, 36, 1, won, 
157, 5, lost, 4, 3, lost, 40, 1, won, 
245, 5, lost, 132, 2, won, 15, 2, won, 
160, 6, lost, 118, 3, lost, 15, 4, lost, 
4, 3, lost, 113, 1, won, 29, 0, won, 
135, 6, lost, 6, 5, lost, 19, 0, won, 
126, 4, lost, 3, 2, lost, 31, 1, won, 
4, 3, lost, 2, 1, lost, 31, 0, won, 
268, 7, lost, 25, 7, lost, 29, 1, won, 
6, 2, lost, 120, 6, won, 29, 1, won, 
3, 2, lost, 109, 2, won, 6, 5, lost, 
223, 4, lost, 17, 4, lost, 31, 1, won, 
5, 4, lost, 6, 5, lost, 16, 4, lost, 
8, 3, lost, 20, 5, lost, 23, 0, won, 
7, 3, lost, 116, 4, lost, 13, 5, lost, 
261, 5, lost, 120, 1, lost, 24, 0, won, 
14, 5, lost, 139, 0, won, 26, 3, lost, 
8, 3, lost, 2, 1, lost, 25, 1, won, 
9, 4, lost, 3, 2, lost, 23, 0, won, 
3, 2, lost, 108, 0, won, 29, 0, won, 
182, 3, lost, 99, 5, lost, 18, 5, lost, 
2, 1, lost, 119, 1, won, 11, 1, lost, 
3, 1, lost, 113, 7, won, 24, 0, won, 
14, 1, lost, 132, 3, won, 30, 0, won, 
2, 1, lost, 123, 0, won, 32, 1, won, 
267, 2, won, 109, 4, lost, 8, 4, lost, 
3, 2, lost, 129, 2, won, 22, 2, won, 
16, 4, lost, 89, 3, lost, 19, 1, won, 
255, 8, lost, 111, 3, won, 43, 1, won, 
49, 2, lost, 5, 4, lost, 22, 1, won, 
2, 1, lost, 117, 0, won, 26, 3, lost, 
2, 1, lost, 2, 1, lost, 26, 1, won, 
4, 3, lost, 98, 1, won, 2, 1, lost, 
17, 4, lost, 105, 6, won, 28, 1, won, 
98, 3, lost, 2, 1, lost, 19, 3, won, 
39, 9, lost, 88, 3, won, 30, 0, won, 
2, 1, lost, 76, 3, lost, 8, 4, lost, 
253, 7, lost, 103, 3, lost, 37, 1, won, 
2, 1, lost, 81, 4, lost, 22, 0, won, 
6, 5, lost, 152, 2, won, 28, 5, won, 
2, 1, lost, 55, 1, lost, 20, 2, won, 
85, 1, lost, 109, 3, lost, 30, 3, won, 
216, 2, lost, 121, 1, won, 27, 2, won, 
77, 2, lost, 3, 2, lost, 10, 4, lost, 
38, 5, lost, 119, 0, won, 25, 3, won, 
2, 1, lost, 98, 2, lost, 32, 3, won, 
8, 4, lost, 8, 4, lost, 29, 2, won, 
118, 4, lost, 114, 0, won, 41, 0, won, 
230, 7, lost, 4, 3, lost, 25, 0, won, 
2, 1, lost, 106, 1, lost, 20, 0, won, 
4, 3, lost, 108, 1, won, 31, 2, won, 
3, 2, lost, 94, 2, lost, 28, 2, won, 
3, 2, lost, 6, 4, lost, 34, 5, won, 
29, 5, lost, 3, 2, lost, 31, 3, lost, 
298, 3, lost, 108, 0, won, 5, 3, lost, 
8, 4, lost, 3, 2, lost, 26, 0, won, 
2, 1, lost, 109, 2, lost, 29, 0, won, 
2, 1, lost, 75, 4, lost, 3, 2, lost, 
5, 4, lost, 117, 4, lost, 25, 3, lost, 
2, 1, lost, 101, 3, lost, 3, 2, lost, 
6, 5, lost, 119, 3, lost, 26, 1, won, 
2, 1, lost, 5, 4, lost, 25, 1, won, 
7, 6, lost, 3, 2, lost, 4, 3, lost, 
44, 4, lost, 134, 2, lost, 28, 1, won, 
5, 4, lost, 121, 4, won, 28, 0, won, 
7, 2, lost, 132, 5, won, 21, 1, won, 
8, 1, lost, 128, 2, won, 2, 1, lost, 
10, 8, lost, 113, 4, won, 2, 1, lost, 
3, 2, lost, 116, 4, won, 31, 0, won, 
54, 9, lost, 6, 5, lost, 33, 4, won, 
4, 3, lost, 122, 2, won, 6, 4, lost, 
2, 1, lost, 106, 2, lost, 28, 0, won, 
52, 11, lost, 126, 2, won, 2, 1, lost, 
3, 2, lost, 94, 4, lost, 28, 4, won, 
2, 1, lost, 90, 2, lost, 22, 0, won, 
16, 9, lost, 4, 3, lost, 37, 1, won, 
2, 1, lost, 109, 1, lost, 24, 2, won, 
180, 4, lost, 14, 1, lost, 25, 0, won, 
258, 6, lost, 110, 2, won, 28, 4, won, 
7, 3, lost, 22, 6, lost, 17, 0, won, 
6, 5, lost, 134, 0, won, 21, 1, won, 
5, 4, lost, 44, 5, lost, 40, 1, won, 
3, 1, lost, 18, 3, lost, 29, 0, won, 
6, 3, lost, 3, 2, lost, 27, 0, won, 
5, 4, lost, 21, 4, lost, 24, 0, won, 
3, 2, lost, 97, 1, won, 33, 0, won, 
2, 1, lost, 115, 0, won, 21, 3, lost, 
17, 3, lost, 2, 1, lost, 8, 1, lost, 
204, 7, lost, 91, 4, lost, 20, 0, won, 
13, 3, lost, 2, 1, lost, 25, 0, won, 
209, 5, lost, 111, 5, lost, 27, 0, won, 
86, 3, lost, 5, 2, lost, 4, 3, lost, 
305, 9, lost, 23, 4, lost, 29, 0, won, 
7, 4, lost, 133, 4, lost, 31, 0, won, 
12, 6, lost, 71, 2, lost, 26, 1, won, 
5, 1, lost, 4, 3, lost, 25, 0, won, 
196, 2, lost, 113, 4, lost, 25, 0, won, 
13, 4, lost, 111, 2, lost, 32, 4, won, 
2, 1, lost, 8, 7, lost, 22, 0, won, 
37, 4, lost, 130, 1, won, 25, 0, won, 
2, 1, lost, 115, 3, won, 3, 2, lost, 
15, 3, lost, 2, 1, lost, 35, 3, won, 
249, 3, lost, 12, 4, lost, 18, 1, won, 
254, 4, lost, 155, 6, won, 24, 0, won, 
5, 4, lost, 46, 4, lost, 2, 1, lost, 
6, 1, lost, 7, 5, lost, 2, 1, lost, 
159, 4, lost, 95, 2, won, 31, 1, won, 
11, 6, lost, 111, 1, won, 3, 2, lost, 
107, 6, lost, 126, 4, won, 19, 1, lost, 
4, 3, lost, 116, 1, won, 30, 1, won, 
94, 4, lost, 112, 5, lost, 38, 2, won, 
3, 2, lost, 21, 4, lost, 27, 0, won, 
8, 4, lost, 126, 4, lost, 29, 0, won, 
17, 2, lost, 6, 5, lost, 29, 2, lost, 
92, 4, lost, 3, 2, lost, 30, 0, won, 
180, 4, lost, 122, 0, won, 34, 6, won, 
5, 4, lost, 102, 1, lost, 14, 1, lost, 
8, 3, lost, 2, 1, lost, 23, 1, won, 
205, 5, lost, 145, 11, won, 27, 3, won, 
74, 5, lost, 126, 1, won, 33, 0, won, 
99, 2, lost, 3, 2, lost, 22, 1, won, 
8, 1, lost, 116, 1, lost, 2, 1, lost, 
3, 2, lost, 117, 3, won, 27, 2, won, 
2, 1, lost, 118, 1, won, 34, 2, won, 
8, 4, lost, 102, 4, lost, 18, 3, lost, 
28, 4, lost, 3, 2, lost, 26, 0, won, 
21, 11, lost, 83, 7, lost, 30, 0, won, 
20, 5, lost, 2, 1, lost, 28, 3, won, 
2, 1, lost, 6, 4, lost, 25, 5, won, 
270, 4, lost, 6, 5, lost, 28, 0, won, 
14, 4, lost, 143, 0, won, 26, 0, won, 
14, 1, lost, 126, 4, won, 31, 1, won, 
46, 3, lost, 113, 2, won, 34, 0, won, 
2, 1, lost, 110, 0, won, 26, 2, won, 
81, 6, lost, 2, 1, lost, 2, 1, lost, 
138, 4, lost, 116, 0, won, 29, 0, won, 
106, 3, lost, 94, 4, lost, 22, 1, won, 
13, 2, lost, 4, 3, lost, 20, 2, lost, 
77, 2, lost, 111, 2, won, 22, 2, won, 
11, 4, lost, 138, 0, won, 9, 1, lost, 
118, 5, lost, 135, 1, won, 20, 1, won, 
4, 3, lost, 116, 5, won, 25, 0, won, 
79, 7, lost, 128, 1, won, 4, 2, lost, 
20, 7, lost, 104, 1, won, 3, 2, lost, 
196, 6, lost, 94, 5, lost, 23, 3, won, 
275, 1, lost, 109, 2, won, 30, 2, lost, 
3, 2, lost, 106, 1, won, 34, 1, won, 
11, 3, lost, 7, 4, lost, 20, 3, lost, 
11, 4, lost, 110, 3, lost, 32, 0, won, 
12, 5, lost, 139, 0, won, 25, 0, won, 
11, 5, lost, 100, 5, lost, 27, 1, won, 
241, 2, lost, 119, 5, lost, 17, 2, lost, 
2, 1, lost, 124, 2, won, 25, 0, won, 
281, 5, lost, 141, 3, won, 34, 4, won, 
75, 5, lost, 11, 5, lost, 22, 0, won, 
2, 1, lost, 2, 1, lost, 22, 2, lost, 
179, 1, lost, 3, 2, lost, 29, 3, won, 
156, 6, lost, 126, 0, won, 20, 1, won, 
7, 3, lost, 2, 1, lost, 28, 1, won, 
14, 2, lost, 87, 3, lost, 21, 1, won, 
7, 6, lost, 5, 4, lost, 25, 0, won, 
306, 6, lost, 3, 2, lost, 3, 2, lost, 
41, 4, lost, 134, 1, lost, 2, 1, lost, 
